Date,ivol
03/01/2005,12.9604
04/01/2005,13.0911
05/01/2005,13.2074
06/01/2005,12.6558
07/01/2005,12.5318
10/01/2005,12.2373
11/01/2005,12.3609
12/01/2005,11.7229
13/01/2005,11.9981
14/01/2005,11.7462
18/01/2005,11.4984
19/01/2005,12.1787
20/01/2005,12.6421
21/01/2005,12.9836
24/01/2005,13.2257
25/01/2005,12.8264
26/01/2005,12.2515
27/01/2005,11.8884
28/01/2005,11.8649
31/01/2005,11.3216
01/02/2005,10.9155
02/02/2005,10.5079
03/02/2005,10.6457
04/02/2005,9.9813
07/02/2005,10.3603
08/02/2005,10.254
09/02/2005,10.4916
10/02/2005,10.1535
11/02/2005,9.9558
14/02/2005,10.2019
15/02/2005,9.8957
16/02/2005,9.8906
17/02/2005,10.3151
18/02/2005,10.0611
22/02/2005,11.4486
23/02/2005,11.0831
24/02/2005,10.4256
25/02/2005,10.1134
28/02/2005,10.8308
01/03/2005,10.8031
02/03/2005,11.3085
03/03/2005,11.3882
04/03/2005,10.841
07/03/2005,10.9551
08/03/2005,11.0179
09/03/2005,11.3648
10/03/2005,11.1984
11/03/2005,11.6131
14/03/2005,11.4976
15/03/2005,11.8931
16/03/2005,12.4696
17/03/2005,12.3604
18/03/2005,12.2286
21/03/2005,12.3873
22/03/2005,12.8875
23/03/2005,12.7492
24/03/2005,12.3527
28/03/2005,12.5558
29/03/2005,13.0048
30/03/2005,12.1559
31/03/2005,12.4246
01/04/2005,12.7803
04/04/2005,12.7841
05/04/2005,12.3758
06/04/2005,11.5401
07/04/2005,11.1187
08/04/2005,11.3691
11/04/2005,11.6382
12/04/2005,11.2596
13/04/2005,12.2576
14/04/2005,13.2419
15/04/2005,14.9706
18/04/2005,14.6924
19/04/2005,13.4954
20/04/2005,14.8521
21/04/2005,12.9815
22/04/2005,13.6337
25/04/2005,13.1361
26/04/2005,13.3847
27/04/2005,13.2836
28/04/2005,14.775
29/04/2005,13.8835
02/05/2005,13.5615
03/05/2005,13.386
04/05/2005,12.4932
05/05/2005,12.3817
06/05/2005,12.6178
09/05/2005,12.1295
10/05/2005,13.1534
11/05/2005,12.5583
12/05/2005,14.1048
13/05/2005,14.4327
16/05/2005,13.6788
17/05/2005,12.9761
18/05/2005,11.9601
19/05/2005,11.5087
20/05/2005,11.4866
23/05/2005,11.2195
24/05/2005,11.3139
25/05/2005,11.3369
26/05/2005,10.9042
27/05/2005,10.9783
31/05/2005,11.8632
01/06/2005,11.2019
02/06/2005,10.8518
03/06/2005,11.2684
06/06/2005,11.2929
07/06/2005,11.3826
08/06/2005,11.336
09/06/2005,10.9971
10/06/2005,11.125
13/06/2005,10.915
14/06/2005,10.9421
15/06/2005,10.7519
16/06/2005,10.3957
17/06/2005,10.3634
20/06/2005,10.519
21/06/2005,10.1823
22/06/2005,10.1865
23/06/2005,11.0287
24/06/2005,11.3518
27/06/2005,11.4489
28/06/2005,10.8335
29/06/2005,10.9154
30/06/2005,11.2343
01/07/2005,10.7114
05/07/2005,10.7542
06/07/2005,10.8921
07/07/2005,10.9371
08/07/2005,10.1014
11/07/2005,10.3606
12/07/2005,10.4512
13/07/2005,10.3367
14/07/2005,10.1183
15/07/2005,9.8949
18/07/2005,10.4098
19/07/2005,10.0313
20/07/2005,9.9279
21/07/2005,10.4934
22/07/2005,10.1732
25/07/2005,10.4464
26/07/2005,10.3843
27/07/2005,10.0218
28/07/2005,10.0257
29/07/2005,10.8625
01/08/2005,11.2199
02/08/2005,10.7834
03/08/2005,10.8912
04/08/2005,11.4002
05/08/2005,11.6073
08/08/2005,12.0518
09/08/2005,11.4136
10/08/2005,11.2365
11/08/2005,11.1687
12/08/2005,11.5008
15/08/2005,11.3305
16/08/2005,12.0014
17/08/2005,12.0306
18/08/2005,12.007
19/08/2005,11.8058
22/08/2005,11.6605
23/08/2005,11.7654
24/08/2005,12.1703
25/08/2005,11.9395
26/08/2005,12.188
29/08/2005,11.9172
30/08/2005,12.186
31/08/2005,11.4897
01/09/2005,11.825
02/09/2005,12.2435
06/09/2005,11.6906
07/09/2005,10.9233
08/09/2005,11.3386
09/09/2005,10.6626
12/09/2005,11.0075
13/09/2005,11.5844
14/09/2005,11.8848
15/09/2005,11.7863
16/09/2005,10.9098
19/09/2005,11.6166
20/09/2005,12.0801
21/09/2005,12.9227
22/09/2005,12.6984
23/09/2005,12.3577
26/09/2005,12.359
27/09/2005,12.2755
28/09/2005,12.0168
29/09/2005,11.6618
30/09/2005,11.5197
03/10/2005,11.711
04/10/2005,12.4469
05/10/2005,13.4848
06/10/2005,13.7771
07/10/2005,13.4788
10/10/2005,14.0646
11/10/2005,14.1129
12/10/2005,14.2729
13/10/2005,14.352
14/10/2005,13.3302
17/10/2005,13.2667
18/10/2005,13.8191
19/10/2005,12.9061
20/10/2005,14.2552
21/10/2005,14.209
24/10/2005,13.1589
25/10/2005,13.0149
26/10/2005,13.1992
27/10/2005,14.228
28/10/2005,13.0129
31/10/2005,12.8413
01/11/2005,12.9186
02/11/2005,12.2824
03/11/2005,11.858
04/11/2005,11.9182
07/11/2005,11.8338
08/11/2005,11.7657
09/11/2005,11.2805
10/11/2005,10.6376
11/11/2005,10.4545
14/11/2005,10.6901
15/11/2005,10.8921
16/11/2005,10.7939
17/11/2005,10.0755
18/11/2005,10.0451
21/11/2005,9.8853
22/11/2005,9.7492
23/11/2005,10.037
25/11/2005,10.1692
28/11/2005,10.7945
29/11/2005,10.8943
30/11/2005,10.8575
01/12/2005,10.3625
02/12/2005,10.025
05/12/2005,10.4906
06/12/2005,10.5203
07/12/2005,11.2068
08/12/2005,11.289
09/12/2005,10.9581
12/12/2005,11.1659
13/12/2005,10.897
14/12/2005,10.891
15/12/2005,10.8126
16/12/2005,10.7897
19/12/2005,11.1323
20/12/2005,11.042
21/12/2005,10.8616
22/12/2005,10.4493
23/12/2005,10.4333
27/12/2005,11.3968
28/12/2005,11.2617
29/12/2005,11.3109
30/12/2005,11.5508
03/01/2006,10.9043
04/01/2006,10.9828
05/01/2006,11.0115
06/01/2006,10.6239
09/01/2006,10.6635
10/01/2006,10.579
11/01/2006,10.6279
12/01/2006,10.9141
13/01/2006,10.8927
17/01/2006,11.4637
18/01/2006,11.6102
19/01/2006,11.2534
20/01/2006,12.6588
23/01/2006,12.4882
24/01/2006,11.8595
25/01/2006,11.8358
26/01/2006,11.3458
27/01/2006,11.0293
30/01/2006,11.2279
31/01/2006,11.4451
01/02/2006,11.2883
02/02/2006,11.8406
03/02/2006,11.7196
06/02/2006,11.8406
07/02/2006,12.3669
08/02/2006,11.7652
09/02/2006,11.8701
10/02/2006,11.6544
13/02/2006,12.0432
14/02/2006,11.3099
15/02/2006,11.1036
16/02/2006,10.3938
17/02/2006,10.5602
21/02/2006,10.862
22/02/2006,10.2502
23/02/2006,10.51
24/02/2006,10.4927
27/02/2006,10.3855
28/02/2006,11.2157
01/03/2006,10.5701
02/03/2006,10.7896
03/03/2006,10.7688
06/03/2006,11.5018
07/03/2006,11.6342
08/03/2006,11.4759
09/03/2006,11.5804
10/03/2006,11.0864
13/03/2006,10.9719
14/03/2006,10.4456
15/03/2006,10.3354
16/03/2006,10.4283
17/03/2006,10.5038
20/03/2006,10.7042
21/03/2006,10.7376
22/03/2006,10.3545
23/03/2006,10.4495
24/03/2006,10.3169
27/03/2006,10.5522
28/03/2006,10.6885
29/03/2006,10.1451
30/03/2006,10.5783
31/03/2006,10.7528
03/04/2006,10.6286
04/04/2006,10.3044
05/04/2006,10.2744
06/04/2006,10.4228
07/04/2006,11.1251
10/04/2006,11.1549
11/04/2006,11.8029
12/04/2006,11.6392
13/04/2006,11.4302
17/04/2006,11.7613
18/04/2006,10.6604
19/04/2006,10.4184
20/04/2006,10.3766
21/04/2006,10.4808
24/04/2006,10.4976
25/04/2006,10.5718
26/04/2006,10.4475
27/04/2006,10.4748
28/04/2006,10.3637
01/05/2006,10.889
02/05/2006,10.6516
03/05/2006,10.7043
04/05/2006,10.5823
05/05/2006,10.1948
08/05/2006,10.5832
09/05/2006,10.5356
10/05/2006,10.4694
11/05/2006,11.0541
12/05/2006,12.0626
15/05/2006,11.6719
16/05/2006,11.5997
17/05/2006,13.4278
18/05/2006,13.9292
19/05/2006,13.681
22/05/2006,14.1713
23/05/2006,14.39
24/05/2006,14.3851
25/05/2006,13.0232
26/05/2006,12.3803
30/05/2006,15.2967
31/05/2006,14.0762
01/06/2006,12.741
02/06/2006,12.5446
05/06/2006,14.5443
06/06/2006,15.1404
07/06/2006,15.6523
08/06/2006,15.8013
09/06/2006,15.7673
12/06/2006,17.3789
13/06/2006,18.92
14/06/2006,17.6492
15/06/2006,13.5399
16/06/2006,14.4468
19/06/2006,15.3343
20/06/2006,14.8761
21/06/2006,13.5031
22/06/2006,14.0226
23/06/2006,14.0365
26/06/2006,13.7365
27/06/2006,14.5835
28/06/2006,14.3237
29/06/2006,11.8499
30/06/2006,12.4995
03/07/2006,12.1267
05/07/2006,13.099
06/07/2006,12.9082
07/07/2006,13.3936
10/07/2006,13.4404
11/07/2006,12.7617
12/07/2006,13.9099
13/07/2006,15.8532
14/07/2006,16.021
17/07/2006,16.2218
18/07/2006,15.5411
19/07/2006,13.6055
20/07/2006,14.3759
21/07/2006,15.0585
24/07/2006,13.3863
