Date,80%60d,90%60d,95%60d,97.5%60d,100%60d,102.5%60d,105%60d,110%60d,120%60d,80%30d,90%30d,95%30d,97.5%30d,100%30d,102.5%30d,105%30d,110%30d,120%30d
2005-01-03,14.36613,14.5034,13.8199,13.397,12.9604,12.6844,12.3166,11.8034,11.709,14.76013,14.7601,13.646,12.939,12.1911,11.9067,11.6957,11.2617,11.1825
2005-01-04,14.51969,14.6601,13.9534,13.5291,13.0911,12.8419,12.4891,12.0123,11.94038,14.69338,14.6934,13.6298,12.9796,12.2949,12.0832,11.9074,11.548,11.4955
2005-01-05,14.46219,14.5911,13.9434,13.5782,13.2074,12.9457,12.5639,12.0224,11.976,14.65419,14.6542,13.6518,13.0813,12.5076,12.2781,12.0442,11.5622,11.5275
2005-01-06,13.986,14.1176,13.4458,13.0568,12.6558,12.4049,12.0516,11.5401,11.48263,14.25469,14.2547,13.2226,12.6205,11.9965,11.8082,11.6169,11.2245,11.187
2005-01-07,13.86563,13.9827,13.3097,12.9252,12.5318,12.32,12.0063,11.571,11.52881,13.829,13.829,12.9211,12.3994,11.87,11.7435,11.6156,11.3554,11.33331
2005-01-10,13.94288,14.0161,13.2133,12.7346,12.2373,12.0201,11.7515,11.3385,11.28288,13.59538,13.5954,12.6987,12.1594,11.595,11.3866,11.1959,10.8042,10.75119
2005-01-11,13.60763,13.6728,13.0714,12.7211,12.3609,12.0974,11.7755,11.2291,11.16213,13.69231,13.6923,12.7409,12.1797,11.5914,11.4395,11.2899,10.9845,10.95088
2005-01-12,13.43188,13.1906,12.5148,12.125,11.7229,11.4906,11.4725,10.9651,10.91213,13.22113,13.2211,12.3724,11.8875,11.3967,11.2143,11.0289,10.6484,10.61769
2005-01-13,13.30031,13.1239,12.6036,12.3046,11.9981,11.7412,11.659,11.1025,11.04,13.44569,13.4457,12.6216,12.1437,11.6491,11.4365,11.2199,10.7737,10.72888
2005-01-14,13.17313,13.0246,12.4295,12.0914,11.7462,11.5018,11.3953,10.8671,10.81788,12.98031,12.9803,12.1096,11.617,11.1263,10.9418,10.7541,10.3686,10.343
2005-01-18,13.16331,13.1633,12.3988,11.9561,11.4984,11.3615,11.2228,10.9403,10.91169,12.85231,12.8523,12.0167,11.5338,11.0367,10.8351,10.6297,10.2066,10.16719
2005-01-19,13.45788,13.4861,12.8757,12.5302,12.1787,11.9509,11.6916,11.2146,11.17188,13.578,13.578,12.6255,12.0875,11.5557,11.3822,11.206,10.845,10.82281
2005-01-20,13.58263,13.629,13.1723,12.9099,12.6421,12.3436,11.9868,11.3537,11.27913,14.42613,14.4261,13.3818,12.7645,12.1159,11.8921,11.6678,11.2056,11.15463
2005-01-21,14.6885,14.7719,13.9595,13.4804,12.9836,12.7175,12.3776,11.8386,11.77081,14.78563,14.7856,13.6756,13.0165,12.3221,12.0444,11.7658,11.1876,11.12219
2005-01-24,14.83138,14.9535,14.1816,13.712,13.2257,12.9346,12.5451,11.9897,11.89938,15.22938,15.2294,14.0727,13.3621,12.6115,12.3346,12.0936,11.5965,11.52269
2005-01-25,14.69463,14.8439,13.935,13.3922,12.8264,12.5134,12.086,11.4641,11.381,14.75381,14.7538,13.5531,12.8342,12.0725,11.8074,11.5454,11.0028,10.94013
2005-01-26,14.38938,14.5536,13.5015,12.8881,12.2515,11.9912,11.6017,11.0644,11.013,14.16531,14.1653,12.919,12.1933,11.4493,11.1996,10.9441,10.4144,10.37331
2005-01-27,14.08063,14.2418,13.1823,12.552,11.8884,11.6288,11.2514,10.7329,10.67288,13.954,13.954,12.6775,11.9193,11.12,10.8593,10.5922,10.0367,9.983188
2005-01-28,13.97788,14.1323,13.1448,12.5212,11.8649,11.5659,11.2062,10.7168,10.62681,14.13313,14.1331,12.8967,12.1163,11.2821,10.9781,10.735,10.2316,10.14813
2005-01-31,12.512,12.6211,12.0292,11.6808,11.3216,11.0188,10.6025,9.9717,9.888,12.82219,12.8222,11.9198,11.3862,10.8264,10.5528,10.2759,9.6983,9.632625
2005-02-01,12.346,12.4546,11.7547,11.3428,10.9155,10.6666,10.3163,9.8081,9.746,12.63338,12.6334,11.5558,10.9215,10.26,10.0558,9.8475,9.4169,9.377188
2005-02-02,12.32519,12.4345,11.5644,11.0488,10.5079,10.2583,9.9252,9.4227,9.364313,12.56663,12.5666,11.4078,10.7235,10.0074,9.7339,9.4524,8.8628,8.81
2005-02-03,12.20013,12.2961,11.5446,11.1042,10.6457,10.388,10.04,9.506,9.445625,12.51131,12.5113,11.4377,10.805,10.1439,9.9372,9.7261,9.2896,9.248875
2005-02-04,11.3085,11.4062,10.7549,10.3753,9.9813,9.6991,9.3351,8.7416,8.675313,12.06219,12.0622,10.8971,10.2099,9.4963,9.2824,9.0634,8.6088,8.571313
2005-02-07,11.57031,11.653,11.0587,10.7152,10.3603,10.089,9.7554,9.1814,9.119188,12.65288,12.6529,11.4283,10.7147,9.9922,9.8365,9.6783,9.3539,9.331688
2005-02-08,11.40638,11.4694,10.9113,10.5878,10.254,9.9918,9.6769,9.1265,9.063875,12.41138,12.4114,11.2596,10.5794,9.8704,9.6832,9.4923,9.0986,9.063875
2005-02-09,12.52063,12.3035,11.4928,11.0036,10.4916,10.1571,9.9968,9.2773,9.174813,12.46819,12.4682,11.5815,11.0554,10.503,10.1875,9.8668,9.192,9.1125
2005-02-10,12.35513,12.1878,11.2746,10.7287,10.1535,9.8764,9.7422,9.1546,9.083125,12.45481,12.4548,11.3689,10.7303,10.0636,9.7849,9.4981,8.8967,8.842313
2005-02-11,11.63463,11.5298,10.8241,10.399,9.9558,9.6656,9.4842,8.8696,8.780875,12.20069,12.2007,11.1333,10.4862,9.7965,9.5545,9.3209,8.8353,8.7755
2005-02-14,11.783,11.7589,11.059,10.6391,10.2019,9.9015,9.6249,8.993,8.903313,12.44913,12.4491,11.3445,10.6864,9.9883,9.7481,9.5017,8.9888,8.936125
